,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
DUSP11,0.023284711172391875,2.7708050416630492e-05,3.362695e-05,1.0414953899307022e-08,0.009900990099009901,1.7642078662457602e-05,3.0684441214430225e-05,1.1619509742625909e-08,0.010144457068657686
LMX1B,0.023212523497235894,2.9213358217705654e-05,3.362695e-05,2.3898204259964473e-07,0.009900990099009901,1.9513046980537927e-05,3.233951094210958e-05,2.61659170729538e-07,0.010144457068657686
ZNF473,0.023138222319155938,3.084342830472764e-05,3.362695e-05,2.8390483852724913e-08,0.009900990099009901,1.87148513182619e-05,3.413142195285242e-05,3.1428579910765583e-08,0.010144457068657686
TYSND1,0.02311156716202044,3.144891691275742e-05,3.362695e-05,2.840128421333077e-07,0.009900990099009901,2.078521302036417e-05,3.478862490349272e-05,3.1073615113053355e-07,0.010144457068657686
NPFFR1,0.02309050126656055,3.193538441437216e-05,3.362695e-05,7.805104784708305e-09,0.009900990099009901,1.6684342566021334e-05,3.531373138338241e-05,8.730542264774391e-09,0.010144457068657686
ZBTB26,0.023036516515466957,3.321475651607564e-05,3.362695e-05,1.6532184488049495e-07,0.009900990099009901,2.0366068653622156e-05,3.671491140317868e-05,1.8140655985423733e-07,0.010144457068657686
C6orf201,0.02297001246255414,3.4857538839694335e-05,3.362695e-05,5.845341322086028e-09,0.009900990099009901,1.7424349727704466e-05,3.851661750242468e-05,6.560427970915857e-09,0.010144457068657686
ORC5,0.022899839008111326,3.6674157029792376e-05,3.362695e-05,3.6542328052391326e-09,0.009900990099009901,1.598432884583995e-05,4.0494876031486104e-05,4.112039915872992e-09,0.010144457068657686
ALKBH4,0.022899812518320208,3.667485939251591e-05,3.362695e-05,1.5409462816862174e-08,0.009900990099009901,1.65246925492682e-05,4.0494876031486104e-05,1.714702835704248e-08,0.010144457068657686
AARD,0.022795809565795373,3.953273171541927e-05,3.362695e-05,6.260946973091208e-07,0.009900990099009901,2.257908518319895e-05,4.363436171679831e-05,6.795528552559199e-07,0.010144457068657686
SPATA24,0.022793990069384432,3.9584554660687665e-05,3.362695e-05,1.666447151382755e-07,0.009900990099009901,1.9845873820179176e-05,4.3675492453866495e-05,1.8279127803101518e-07,0.010144457068657686
SLC31A1,0.022697201460038924,4.243575132223398e-05,3.362695e-05,5.866952990096763e-08,0.009900990099009901,1.841899198499606e-05,4.680413748775807e-05,6.485209642700918e-08,0.010144457068657686
ZNF442,0.022664474109958692,4.344296935920866e-05,3.362695e-05,2.025726603127609e-07,0.009900990099009901,1.9623244926268244e-05,4.789743038501506e-05,2.220379908433623e-07,0.010144457068657686
ZNF579,0.022618005665461318,4.491195013989202e-05,3.362695e-05,4.7189520391288653e-07,0.009900990099009901,2.1419092270265595e-05,4.949884291685381e-05,5.134877082838809e-07,0.010144457068657686
OCLN,0.022532673615190235,4.773248286948917e-05,3.362695e-05,2.453814929026521e-09,0.009900990099009901,1.553626915875785e-05,5.258811920986688e-05,2.768501236208937e-09,0.010144457068657686
RAD9A,0.022477200726945968,4.965489751329599e-05,3.362695e-05,7.629508802509122e-09,0.009900990099009901,1.5687574478529083e-05,5.468601047719823e-05,8.540494928181853e-09,0.010144457068657686
OR8S1,0.02245843969335156,5.032143772809583e-05,3.362695e-05,6.369660243699116e-09,0.009900990099009901,1.609724210263187e-05,5.5399747957536696e-05,7.143544198541064e-09,0.010144457068657686
TMEM243,0.02244460684170064,5.0818289699550157e-05,3.362695e-05,1.029324975254653e-07,0.009900990099009901,1.7838006939739396e-05,5.592621757103833e-05,1.1340341262445681e-07,0.010144457068657686
PDE6H,0.022387242232873347,5.292856908722943e-05,3.362695e-05,5.011499232265848e-07,0.009900990099009901,2.112714681173982e-05,5.822724872082445e-05,5.445308836217871e-07,0.010144457068657686
ALLC,0.022320761031370928,5.5477629375633164e-05,3.362695e-05,3.333211738842934e-07,0.009900990099009901,2.0214487550551987e-05,6.100912321367284e-05,3.637553734641252e-07,0.010144457068657686
CDR1,0.022286628027042742,5.6830946373653823e-05,3.362695e-05,2.8459311351980432e-08,0.009900990099009901,1.762641407575213e-05,6.247447384425119e-05,3.149315162520889e-08,0.010144457068657686
ARG2,0.022216931113689345,5.969160275898222e-05,3.362695e-05,1.2704890727244234e-06,0.009900990099009901,2.2681812434219785e-05,6.559516786701343e-05,1.3710313734436224e-06,0.010144457068657686
CDHR5,0.02218790300454351,6.092263901991135e-05,3.362695e-05,9.286748664516509e-07,0.009900990099009901,2.113749738120905e-05,6.692344088602492e-05,1.0032497657021795e-06,0.010144457068657686
TMEM41A,0.02215735659798666,6.224388757813948e-05,3.362695e-05,6.3003489736424e-07,0.009900990099009901,2.156014927583203e-05,6.834980334349137e-05,6.835821671221411e-07,0.010144457068657686
TPGS1,0.022154380787401833,6.237403663467145e-05,3.362695e-05,2.3794949466360293e-07,0.009900990099009901,1.8233611068761827e-05,6.846765821588523e-05,2.606237619535629e-07,0.010144457068657686
GTPBP8,0.022135969347125018,6.318499405189026e-05,3.362695e-05,4.626163008225603e-09,0.009900990099009901,1.5405470423872886e-05,6.933247335613416e-05,5.201832468019794e-09,0.010144457068657686
